mean,err
-0.0676496977209379,0.000029734577469020898
-0.04604547126576712,0.000019920127765839574
-0.008608192617886971,0.000010159765965891526
-0.0024845483557987937,6.191208751120385e-6
-0.0009963644944117806,4.417753889203925e-6
-0.0004916288703173892,3.2706392170203922e-6
-0.00027486372600521913,2.481102287651683e-6
-0.00016632597063496484,1.9671867681946734e-6
-0.00010592937482195523,1.6378223812312813e-6
-0.00006973433599320392,1.3835527044811727e-6
-0.00004728875424954288,1.2037178839667053e-6
-0.00003281458914600971,1.0937659940974904e-6
-0.0000230747646115594,9.964440247134043e-7
-0.00001624201476463354,9.338578056936848e-7
-0.000011402173302108189,9.130636235027446e-7
-7.963898838400533e-6,9.225962717423239e-7
-5.361394952167408e-6,9.389734745696867e-7
-3.512726205729891e-6,9.419549802381069e-7
-2.2927872438490043e-6,9.306802092543088e-7
-1.5798971003999228e-6,9.258881213758168e-7
-1.1819618946319064e-6,9.365810377217671e-7
-8.717236057731785e-7,9.730897919498028e-7
-6.28015806387468e-7,1.0307050582306882e-6
-5.443990171440966e-7,1.0990175026809003e-6
-5.680878958286161e-7,1.1373154110776867e-6
