mean,err
-0.06776704096800513,0.00003069583888015014
-0.04612046755639746,0.000017608675654843094
-0.00864477132272093,7.494008448279307e-6
-0.0025112859872991147,5.158853532314025e-6
-0.0010184195502827187,3.795968981208044e-6
-0.0005089057108009486,2.7909735373031625e-6
-0.00028781522789430723,2.0867855040700306e-6
-0.00017553251520607762,1.6543044831318788e-6
-0.00011245597645043215,1.3712091161414976e-6
-0.00007429868267420712,1.1725654020018822e-6
-0.000050112630092647184,1.0251364191821045e-6
-0.00003437355383237656,9.367891514348608e-7
-0.00002394898843170074,8.887326320763783e-7
-0.00001689389619295871,8.570799390316414e-7
-0.000012068734814158548,8.490141014473342e-7
-8.745713799471423e-6,8.294632018626589e-7
-6.42685274854459e-6,7.947575173190062e-7
-4.803263232408914e-6,7.347179968115759e-7
-3.654977511695931e-6,6.577518117085403e-7
-2.752440488126002e-6,5.867283757748488e-7
-2.045149802047694e-6,5.435287827792281e-7
-1.515442792162219e-6,4.926835308835924e-7
-1.1305334431336257e-6,4.5244037801033495e-7
-9.224612879572074e-7,4.32763006394077e-7
-8.635701055931904e-7,4.314046005822624e-7
-9.224612879572074e-7,4.32763006394077e-7
-1.1305334431336257e-6,4.5244037801033495e-7
-1.515442792162219e-6,4.926835308835924e-7
-2.045149802047694e-6,5.435287827792281e-7
-2.752440488126002e-6,5.867283757748488e-7
-3.654977511695931e-6,6.577518117085403e-7
-4.803263232408914e-6,7.347179968115759e-7
-6.42685274854459e-6,7.947575173190062e-7
-8.745713799471423e-6,8.294632018626589e-7
-0.000012068734814158548,8.490141014473342e-7
-0.00001689389619295871,8.570799390316414e-7
-0.00002394898843170074,8.887326320763783e-7
-0.00003437355383237656,9.367891514348608e-7
-0.000050112630092647184,1.0251364191821045e-6
-0.00007429868267420712,1.1725654020018822e-6
-0.00011245597645043215,1.3712091161414976e-6
-0.00017553251520607762,1.6543044831318788e-6
-0.00028781522789430723,2.0867855040700306e-6
-0.0005089057108009486,2.7909735373031625e-6
-0.0010184195502827187,3.795968981208044e-6
-0.0025112859872991147,5.158853532314025e-6
-0.00864477132272093,7.494008448279307e-6
-0.04612046755639746,0.000017608675654843094
