mean,err
-0.06694551893495482,9.295010093023337e-6
0.02704584544117811,3.6495055969652787e-6
0.004631592043528296,1.766403266561543e-6
0.001265730799594135,1.0539380614247579e-6
0.0004963570876008564,7.474488865947509e-7
0.0002425689020909355,6.026596990066301e-7
0.00013400691179991887,5.300307641704088e-7
0.00007937232833661003,4.616928974928583e-7
0.00004893591220840121,4.099542464204735e-7
0.000030930813628919274,3.393675335428566e-7
0.00001985204152618411,2.807921701141987e-7
0.000012870526300700705,2.4698092906589285e-7
8.38362075802224e-6,2.3373121309003862e-7
5.46209877582041e-6,2.2303074595648322e-7
3.5561334938457725e-6,1.9777968339536092e-7
2.3063831587738257e-6,1.662043511849887e-7
1.4971387040744106e-6,1.569786499994312e-7
1.0057791417720381e-6,1.2515868782120677e-7
7.021873035096036e-7,8.119462198548666e-8
5.004385104245257e-7,4.7758776153176226e-8
3.576737913042195e-7,3.35257315292781e-8
2.7444074161838546e-7,2.2862761364049094e-8
2.2692042666037678e-7,2.132602871794014e-8
2.0270601131429573e-7,2.814595991306078e-8
1.9285967586296382e-7,3.1409025333707296e-8
2.0270601131429573e-7,2.814595991306078e-8
2.2692042666037678e-7,2.132602871794014e-8
2.7444074161838546e-7,2.2862761364049094e-8
3.576737913042195e-7,3.35257315292781e-8
5.004385104245257e-7,4.7758776153176226e-8
7.021873035096036e-7,8.119462198548666e-8
1.0057791417720381e-6,1.2515868782120677e-7
1.4971387040744106e-6,1.569786499994312e-7
2.3063831587738257e-6,1.662043511849887e-7
3.5561334938457725e-6,1.9777968339536092e-7
5.46209877582041e-6,2.2303074595648322e-7
8.38362075802224e-6,2.3373121309003862e-7
0.000012870526300700705,2.4698092906589285e-7
0.00001985204152618411,2.807921701141987e-7
0.000030930813628919274,3.393675335428566e-7
0.00004893591220840121,4.099542464204735e-7
0.00007937232833661003,4.616928974928583e-7
0.00013400691179991887,5.300307641704088e-7
0.0002425689020909355,6.026596990066301e-7
0.0004963570876008564,7.474488865947509e-7
0.001265730799594135,1.0539380614247579e-6
0.004631592043528296,1.766403266561543e-6
0.02704584544117811,3.6495055969652787e-6
