chi2,dof,massfit_mean,massfit_err,fita,fita_err,chi2_dof
6.18088514725848,13,0.38139258266484455,0.0580553885606427,-1.5488979069639347e-7,1.1591890892734205e-7,0.51507376227154
5.876142037672998,13,0.35634505735146443,0.048332125867408066,-2.345796466329953e-7,1.4460274235773624e-7,0.48967850313941647
5.851298690231025,13,0.38122764741984944,0.055487408619182055,-1.6231034296422554e-7,1.1609183243849909e-7,0.48760822418591876
6.46238876866295,13,0.3574532690238166,0.04898959959421961,-2.2911504457355602e-7,1.4322913488296888e-7,0.5385323973885792
6.002896074226263,13,0.36271840566290586,0.04998635999381464,-2.1401202122162233e-7,1.368362111174132e-7,0.5002413395188553
6.335570986919519,13,0.36917597420726633,0.051565395659554696,-1.9547536119103373e-7,1.2929475938543882e-7,0.52796424890996
6.668656840747526,13,0.3674566126137033,0.05175031231373164,-1.9789876496185492e-7,1.312706168684279e-7,0.5557214033956271
6.6726592640614655,13,0.35361822298000634,0.047792004780814044,-2.4315598976527915e-7,1.480241162627815e-7,0.5560549386717888
5.3550527325263095,13,0.3620197568967992,0.049862470761740524,-2.1592126410948748e-7,1.3767186666044687e-7,0.44625439437719244
6.668132761746228,13,0.3626810676087036,0.050026230041553994,-2.1391465217409084e-7,1.3688077353103443e-7,0.555677730145519
6.343736033340576,13,0.36333366993626415,0.050198913967816415,-2.1190682480831728e-7,1.3610349085081507e-7,0.5286446694450481
7.663272529751815,13,0.35312032565795953,0.048089386873585604,-2.4274022708900854e-7,1.486552037150826e-7,0.6386060441459845
5.196264203875108,13,0.36219666616213275,0.05140209331879935,-2.0911485356502924e-7,1.3745989968262858e-7,0.43302201698959236
6.423761220715825,13,0.36393136204196047,0.05025532041783179,-2.1051082904602993e-7,1.3539456432215846e-7,0.5353134350596521
6.095613858914891,13,0.37275192333479107,0.05155176494695013,-1.8914096726818913e-7,1.2525955546397736e-7,0.507967821576241
6.439604852042523,13,0.35518151190410474,0.04883318473808948,-2.3463299151026157e-7,1.4605542838965362e-7,0.5366337376702103
4.380959336810952,13,0.40113654122905945,0.05760672735946193,-1.2926193225041979e-7,9.668504973663494e-8,0.36507994473424604
6.126005306368741,13,0.3585819686693504,0.049441206308146184,-2.2470381634460812e-7,1.418401541675548e-7,0.5105004421973951
5.6427823625278135,13,0.3598276060220816,0.04998031355219744,-2.197712096759059e-7,1.4031900419016656e-7,0.47023186354398444
6.194333653959939,13,0.35556625967146727,0.0480285905804513,-2.3773413083233579e-7,1.455738813969975e-7,0.5161944711633283
6.834506335435568,13,0.35956121865540064,0.0495194431068416,-2.2235614917976725e-7,1.4064327696892866e-7,0.5695421946196307
6.755582112731727,13,0.36320132370449804,0.05040048019694297,-2.1131576309218228e-7,1.3626084960832415e-7,0.5629651760609772
6.216266937789648,13,0.3836829260790392,0.05433514868161047,-1.6195368686218782e-7,1.1353903400140142e-7,0.518022244815804
7.6001180658200465,13,0.367481284584917,0.05154806404844999,-1.9862995201486488e-7,1.3124209996435034e-7,0.6333431721516706
6.700542233288819,13,0.36274981965074005,0.04976354275320595,-2.1490837346272686e-7,1.367987275352186e-7,0.5583785194407349
6.528617090250041,13,0.3565476196144585,0.04896177111039731,-2.3113791801815012e-7,1.4435094201580907e-7,0.5440514241875034
6.271314163382167,13,0.3639664614533886,0.050317159649363646,-2.1018434717899247e-7,1.3535302047668637e-7,0.5226095136151806
6.142543314515136,13,0.36339150268073805,0.0506973668521159,-2.097120595485451e-7,1.3603477161214613e-7,0.511878609542928
6.398959881405623,13,0.3713020903651447,0.0518710893214177,-1.9052860984560486e-7,1.2688353640665295e-7,0.5332466567838019
6.388331696194125,13,0.3617624984941169,0.04992260896398074,-2.1616959975525246e-7,1.3798054763033722e-7,0.5323609746828438
6.473400185370302,13,0.3695777276050932,0.05159867233369761,-1.9462363503199385e-7,1.2883641786907664e-7,0.5394500154475251
6.384144949386163,13,0.35571694594318753,0.04829285769300299,-2.3611073436179096e-7,1.4538560406149062e-7,0.5320120791155135
6.471930614476282,13,0.3784461507429907,0.054472151602009036,-1.697191889924463e-7,1.1903938644505179e-7,0.5393275512063568
6.696308528330121,13,0.36831717906966993,0.05077512653649096,-2.0010178444252025e-7,1.302787666595498e-7,0.5580257106941767
6.084026813595292,13,0.3634409690249356,0.05025059472838927,-2.1148056776275336e-7,1.3597601466199195e-7,0.5070022344662743
6.190209686120771,13,0.359756499824985,0.048821692930453506,-2.2513272464590192e-7,1.404055065473382e-7,0.5158508071767309
6.71060310408098,13,0.3575258414225181,0.04829599757112259,-2.3225227495519571e-7,1.4313952291387238e-7,0.5592169253400817
6.44939942771202,13,0.36130108115855475,0.04969022050639448,-2.1809924505692148e-7,1.3853550953230437e-7,0.537449952309335
6.419225594556556,13,0.36279661467606733,0.050024745371775904,-2.136945506266066e-7,1.3674290557850497e-7,0.5349354662130463
5.921751062523175,13,0.3698080125801848,0.05184502151708919,-1.932858888781982e-7,1.2857426730559732e-7,0.49347925521026453
7.18917177586107,13,0.3757351689264817,0.05330446914281879,-1.778996086763427e-7,1.219694539472007e-7,0.5990976479884225
7.96910146069309,13,0.31599106482547806,0.04062237083143289,-3.9689028457066767e-7,2.0112936979065776e-7,0.6640917883910908
6.919363463802291,13,0.3422810146309774,0.04446935386041947,-2.891770148812185e-7,1.6288034934346922e-7,0.5766136219835243
5.761088595899266,13,0.3724704743803418,0.053679459257982266,-1.8212052526774623e-7,1.255735279182643e-7,0.4800907163249388
6.152379801405821,13,0.362180241406529,0.05017433541342546,-2.1426408698083412e-7,1.3747956885960456e-7,0.5126983167838184
6.67751199132503,13,0.36157674915503873,0.04980862517254257,-2.1703285360702055e-7,1.3820375169028533e-7,0.5564593326104191
6.6300273347475,13,0.35697387825260435,0.0488483658241125,-2.3078007100051145e-7,1.4382213407321852e-7,0.552502277895625
6.00416351521477,13,0.3766902024813945,0.05454032420443135,-1.723213421701035e-7,1.2093076812356714e-7,0.5003469596012308
6.616610947662859,13,0.35016893604244526,0.04811134372908341,-2.4915619330041897e-7,1.524364834847215e-7,0.5513842456385716
6.863187040253365,13,0.3592234124563452,0.05093235743672627,-2.168545012325745e-7,1.4105529721496998e-7,0.5719322533544471
6.325783960904509,13,0.36526868942212937,0.051026964444030785,-2.0479388986399242e-7,1.3381857583786618e-7,0.5271486634087091
6.356844352549299,13,0.3603348925903729,0.04957391449497821,-2.205494477327453e-7,1.3970304158484868e-7,0.5297370293791083
5.511310064343597,13,0.3550935305215568,0.04772525155116995,-2.4027118063182195e-7,1.4616571024368483e-7,0.45927583869529975
6.217222284566596,13,0.36070037786891546,0.04974484452727472,-2.1905919474628194e-7,1.392605229447165e-7,0.5181018570472163
6.355414125701593,13,0.3502386776893084,0.04765747676748408,-2.5137172263146524e-7,1.5234633485474923e-7,0.5296178438084661
8.614083309923252,13,0.41310879433924064,0.05724791234465882,-1.1575296459638521e-7,8.638001684405043e-8,0.7178402758269377
5.764266478838614,13,0.376368234097982,0.05290250497953288,-1.7819266615454793e-7,1.21280150015872e-7,0.48035553990321783
4.907120478087166,13,0.3776243968628376,0.052890039875073985,-1.7614914235159862e-7,1.1992156286559012e-7,0.40892670650726387
6.8936006810702875,13,0.37253557158925804,0.053038058189634946,-1.8421130091365358e-7,1.2550085334412575e-7,0.5744667234225239
6.040310062454472,13,0.3594147062792041,0.04911787707093584,-2.2447367752502919e-7,1.4082186609344412e-7,0.5033591718712059
5.199695010883033,13,0.39354290155927085,0.05502845314202333,-1.4558320817160255e-7,1.0374340502126616e-7,0.4333079175735861
6.573856367323055,13,0.3660793960926819,0.05077732608544038,-2.0426986052597904e-7,1.3287006253826015e-7,0.5478213639435879
9.842707202358795,13,0.32486276871879666,0.040418239114331865,-3.7011928929536917e-7,1.8765024075418923e-7,0.8202256001965663
6.148557296590258,13,0.36034886070189975,0.04985852807687781,-2.1926249385029268e-7,1.3968610995024444e-7,0.5123797747158548
6.230120532967947,13,0.3581607016101114,0.04947612200053212,-2.2540768549947915e-7,1.4235738382402493e-7,0.5191767110806623
5.23381493415026,13,0.3555339990878722,0.04859840579186137,-2.3501535401756143e-7,1.4561421332183668e-7,0.4361512445125217
5.234550202341589,13,0.3729936700360406,0.052272226712266126,-1.8611457744567636e-7,1.2499036605421224e-7,0.4362125168617991
6.466262925996677,13,0.36567582170485513,0.05059524834330152,-2.0576859888252426e-7,1.3334158982093734e-7,0.5388552438330564
6.302228010347539,13,0.3552023304638501,0.04829256235817472,-2.3721494591632412e-7,1.4602934198164584e-7,0.5251856675289616
5.970410036626067,13,0.3602539020124991,0.04907965047718406,-2.2293529959593665e-7,1.3980124589374503e-7,0.4975341697188389
6.463990019948662,13,0.364774392929586,0.05006400238888166,-2.0968441629243629e-7,1.343994395632204e-7,0.5386658349957218
11.177410212429319,13,0.32063524217409606,0.041451642419558565,-3.74071628382982e-7,1.940036380288833e-7,0.9314508510357765
5.20032089194431,13,0.3721317884530482,0.052082321074782216,-1.8829784264198252e-7,1.2595217048921764e-7,0.4333600743286925
6.432931874978925,13,0.3561705506295572,0.04890586705566096,-2.3219477125130788e-7,1.4481992874377182e-7,0.5360776562482438
6.403052206429116,13,0.36489703988546685,0.05089891063459226,-2.060123879920568e-7,1.342551332467162e-7,0.533587683869093
6.469325803584857,13,0.3552734404611826,0.04817677319827039,-2.3763207814767618e-7,1.4594026453541352e-7,0.5391104836320714
5.873811170160113,13,0.3739439864403231,0.05296856272821073,-1.8204811304227076e-7,1.239365813635355e-7,0.4894842641800094
5.542697571411664,13,0.372972977069846,0.0523060292454002,-1.860301543403943e-7,1.2501339023373786e-7,0.46189146428430533
6.29520165913404,13,0.34519327922848586,0.046139975839281464,-2.7160453506919773e-7,1.589673242318317e-7,0.52460013826117
6.358589885369071,13,0.35809589472727704,0.049156586239254146,-2.2700669741904546e-7,1.4243707840362032e-7,0.5298824904474225
7.558854903129767,13,0.3482020828780756,0.046791097250824254,-2.607380678452923e-7,1.5499471086706213e-7,0.6299045752608139
6.309069006733328,13,0.36847445051686906,0.05207924944648696,-1.9480742768968778e-7,1.3009813182788815e-7,0.5257557505611107
5.453712064440873,13,0.33636605752745935,0.04491116808475755,-3.0160865198999066e-7,1.7103177187689044e-7,0.45447600537007277
7.1393227048534715,13,0.3730895590489371,0.05423783014361206,-1.792095543912053e-7,1.2488371798513325e-7,0.5949435587377893
6.9425987725404,13,0.36075292414638754,0.048798881551527354,-2.2319846828853663e-7,1.3919698854851025e-7,0.5785498977117
6.114324341267157,13,0.3434500008224275,0.04595084853492111,-2.7697384548309576e-7,1.6130165721061522e-7,0.5095270284389297
5.1170675134929695,13,0.35910640469983146,0.04881088036513968,-2.2652107689295003e-7,1.4119822197768518e-7,0.4264222927910808
6.881325739224236,13,0.3519137804105554,0.048165569069635414,-2.4500471332015175e-7,1.5019266530305942e-7,0.5734438116020196
8.159770731037268,13,0.3745334965827947,0.05403017967238979,-1.774920046801902e-7,1.232864160040501e-7,0.6799808942531057
7.161691279186449,13,0.3592679707661852,0.04944711171509463,-2.232774864678319e-7,1.4100089787706022e-7,0.5968076065988708
6.428462071941688,13,0.3419056027339698,0.04565893765504737,-2.8257862550542156e-7,1.6338960642526955e-7,0.5357051726618073
6.388580083123267,13,0.34945761170845874,0.047220815282991366,-2.5547887096276564e-7,1.5335814740707423e-7,0.5323816735936056
6.311210850203764,13,0.3791649338643171,0.05472479642080085,-1.6779877056244602e-7,1.182720095496338e-7,0.5259342375169803
5.47488324706899,13,0.34408423858494364,0.046636014668488456,-2.713746889081552e-7,1.604496182609064e-7,0.4562402705890825
6.2864264008434745,13,0.3612391040912764,0.049945436370283085,-2.1710778706072645e-7,1.3861017989896063e-7,0.5238688667369562
6.334073124506091,13,0.3577043349189,0.04965256175556961,-2.2554071306045882e-7,1.4291929806766057e-7,0.5278394270421742
6.1032356728611745,13,0.36578008924143796,0.05099242783799604,-2.039698912461778e-7,1.3321964290811635e-7,0.5086029727384312
6.113999925103198,13,0.3577902556779223,0.04869802171099083,-2.2978204355742855e-7,1.4281337941137965e-7,0.5094999937585999
4.675677126569075,13,0.3940210479989437,0.05620820377798727,-1.4187578054637708e-7,1.0328666341597967e-7,0.3896397605474229
