-6.67485309546762551e-02,1.06913262932819663e-05
2.69184400459919516e-02,4.62279251775636472e-06
4.56214056395799240e-03,3.02130935473764799e-06
1.22329354816576308e-03,2.02126790477617151e-06
4.67357518767986960e-04,1.33064803226202771e-06
2.22912510636998556e-04,1.02289686563595079e-06
1.20875410420889315e-04,8.80922844979385097e-07
7.06904240856739833e-05,8.20949007200214925e-07
4.34571464132047625e-05,7.70122314792166381e-07
2.76605052163716094e-05,7.07739273424816530e-07
1.80852762898849429e-05,6.17392731789772890e-07
1.20241681876231781e-05,5.07307542055229127e-07
8.14316921742632932e-06,4.23193908569968531e-07
5.65773018422615469e-06,4.06471719324735758e-07
3.95564484332081459e-06,3.95413095228681342e-07
2.78363998101985529e-06,3.53622256138145982e-07
2.02016357567037137e-06,3.47942047443315913e-07
1.52979079089255313e-06,3.55104907150470701e-07
1.15209432579090135e-06,3.46041985531652876e-07
7.73000787438358552e-07,3.42531544093175874e-07
3.97982863109563477e-07,3.25274643180099330e-07
9.28068566707640928e-08,3.12446423773117110e-07
-3.48707189760683759e-08,3.31653528893140519e-07
-7.02667460445929047e-08,3.55982908173026811e-07
-1.05261130031933262e-07,3.67985059426979434e-07
-7.02667460445929047e-08,3.55982908173026811e-07
-3.48707189760683759e-08,3.31653528893140519e-07
9.28068566707640928e-08,3.12446423773117110e-07
3.97982863109563477e-07,3.25274643180099330e-07
7.73000787438358552e-07,3.42531544093175874e-07
1.15209432579090135e-06,3.46041985531652876e-07
1.52979079089255313e-06,3.55104907150470701e-07
2.02016357567037137e-06,3.47942047443315913e-07
2.78363998101985529e-06,3.53622256138145982e-07
3.95564484332081459e-06,3.95413095228681342e-07
5.65773018422615469e-06,4.06471719324735758e-07
8.14316921742632932e-06,4.23193908569968531e-07
1.20241681876231781e-05,5.07307542055229127e-07
1.80852762898849429e-05,6.17392731789772890e-07
2.76605052163716094e-05,7.07739273424816530e-07
4.34571464132047625e-05,7.70122314792166381e-07
7.06904240856739833e-05,8.20949007200214925e-07
1.20875410420889315e-04,8.80922844979385097e-07
2.22912510636998556e-04,1.02289686563595079e-06
4.67357518767986960e-04,1.33064803226202771e-06
1.22329354816576308e-03,2.02126790477617151e-06
4.56214056395799240e-03,3.02130935473764799e-06
2.69184400459919516e-02,4.62279251775636472e-06
