mean,err
-0.06667535871219418,0.0000437591673025227
0.02687670035144329,0.000018464281705024475
0.004545195641769648,8.52133485061522e-6
0.001214896369584886,5.28803695137613e-6
0.00046138966669333073,3.7682779990839193e-6
0.0002170198341047851,3.025047203026593e-6
0.00011530214218776418,2.6743098229705822e-6
0.00006584455226661557,2.385077437133206e-6
0.000040253933403015947,2.4018900480209087e-6
0.000026489882457927668,2.555098218596124e-6
0.000017824506003932162,2.568297115306607e-6
0.00001260341447922039,2.4284154928345957e-6
9.638026061296921e-6,2.218094093490017e-6
7.578948483988659e-6,1.8617583094867784e-6
5.8379158204128005e-6,1.5031793040434347e-6
4.210531805765185e-6,1.2510652311447376e-6
3.413606259457609e-6,1.2088168958384472e-6
3.021878674664352e-6,1.159149394281696e-6
2.386890094672539e-6,1.1083666929961183e-6
1.588032882481557e-6,1.1440638177320873e-6
1.0070559073166574e-6,1.2018976321403826e-6
6.145136472921451e-7,1.207822065433731e-6
1.1377762279847912e-7,1.263908954948005e-6
-3.4439923416900617e-7,1.4139322794626676e-6
-4.732598468582551e-7,1.5245993694247448e-6
-3.4439923416900617e-7,1.4139322794626676e-6
1.1377762279847912e-7,1.263908954948005e-6
6.145136472921451e-7,1.207822065433731e-6
1.0070559073166574e-6,1.2018976321403826e-6
1.588032882481557e-6,1.1440638177320873e-6
2.386890094672539e-6,1.1083666929961183e-6
3.021878674664352e-6,1.159149394281696e-6
3.413606259457609e-6,1.2088168958384472e-6
4.210531805765185e-6,1.2510652311447376e-6
5.8379158204128005e-6,1.5031793040434347e-6
7.578948483988659e-6,1.8617583094867784e-6
9.638026061296921e-6,2.218094093490017e-6
0.00001260341447922039,2.4284154928345957e-6
0.000017824506003932162,2.568297115306607e-6
0.000026489882457927668,2.555098218596124e-6
0.000040253933403015947,2.4018900480209087e-6
0.00006584455226661557,2.385077437133206e-6
0.00011530214218776418,2.6743098229705822e-6
0.0002170198341047851,3.025047203026593e-6
0.00046138966669333073,3.7682779990839193e-6
0.001214896369584886,5.28803695137613e-6
0.004545195641769648,8.52133485061522e-6
0.02687670035144329,0.000018464281705024475
