2.10236472866818430e-01,1.91348097364156598e-04
7.19932189369637265e-02,1.91900396421544031e-04
1.73050980047899684e-02,1.94718762437672325e-04
7.00523615943873974e-03,1.98197363217726946e-04
3.93771971203920462e-03,1.94523865767656670e-04
2.61221780226271677e-03,1.79577355911639155e-04
1.88095368233117885e-03,1.57249571572425171e-04
1.41579561372253207e-03,1.33141904425040399e-04
1.09546163455811812e-03,1.11179506639160028e-04
8.63113266932707263e-04,9.19565584456902426e-05
6.86213349353870564e-04,7.53613116320107500e-05
5.49186700561478305e-04,6.22475997042606590e-05
4.44075648648806752e-04,5.30337140068753716e-05
3.61623519979473531e-04,4.61353137316982179e-05
2.97034424511410564e-04,4.13584325561459508e-05
2.46693294755518907e-04,3.81431153330002477e-05
2.06606237868778162e-04,3.56147315011067596e-05
1.75361254989349775e-04,3.43085639849878999e-05
1.51564909492643389e-04,3.40576758884064977e-05
1.32532162872038594e-04,3.38326879032045436e-05
1.18143862659951526e-04,3.41734526159446692e-05
1.07813211469596601e-04,3.47544197973653331e-05
1.01720723576688375e-04,3.61545970116662114e-05
9.81876843872935684e-05,3.71248350922377508e-05
9.68044348888957184e-05,3.73035842775721981e-05
9.81876843872935684e-05,3.71248350922377508e-05
1.01720723576688375e-04,3.61545970116662114e-05
1.07813211469596601e-04,3.47544197973653331e-05
1.18143862659951526e-04,3.41734526159446692e-05
1.32532162872038594e-04,3.38326879032045436e-05
1.51564909492643389e-04,3.40576758884064977e-05
1.75361254989349775e-04,3.43085639849878999e-05
2.06606237868778162e-04,3.56147315011067596e-05
2.46693294755518907e-04,3.81431153330002477e-05
2.97034424511410564e-04,4.13584325561459508e-05
3.61623519979473531e-04,4.61353137316982179e-05
4.44075648648806752e-04,5.30337140068753716e-05
5.49186700561478305e-04,6.22475997042606590e-05
6.86213349353870564e-04,7.53613116320107500e-05
8.63113266932707263e-04,9.19565584456902426e-05
1.09546163455811812e-03,1.11179506639160028e-04
1.41579561372253207e-03,1.33141904425040399e-04
1.88095368233117885e-03,1.57249571572425171e-04
2.61221780226271677e-03,1.79577355911639155e-04
3.93771971203920462e-03,1.94523865767656670e-04
7.00523615943873974e-03,1.98197363217726946e-04
1.73050980047899684e-02,1.94718762437672325e-04
7.19932189369637265e-02,1.91900396421544031e-04
