beta	mres	pbpl	pbpl_err	pbps	pbps_err	pbp_rm	pbp_rm_err
4.13	0.000731464	0.0016688	6.34e-6	0.01942524	1.35e-6	0.00106082	6.74e-6
4.15	0.000498493	0.00135913	6.44e-6	0.01808069	1.28e-6	0.00077109	6.75e-6
4.17	0.000339722	0.00107396	6.42e-6	0.01686886	1.27e-6	0.00050728	6.62e-6
4.18	0.000280451	0.00097061	6.42e-6	0.01629887	1.34e-6	0.00041649	6.59e-6
4.20	0.000191127	0.00076708	5.54e-6	0.01524584	1.27e-6	0.00023896	5.61e-6
4.23	0.000107528	0.00058018	3.83e-6	0.01384239	1.2e-6	0.00009289	3.81e-6
4.30	0.0000280963	0.0004121	1.39e-6	0.01124911	9e-7	8.2e-6	1.33e-6
4.405	3.75269e-6	0.00031129	3e-8	0.00856161	2.7e-7	4e-7	2e-8
