Beta	Mean	Jackknife Erro
4.13	0.01942524	0.00000135
4.15	0.01808069	0.00000128
4.17	0.01686886	0.00000127
4.18	0.01629887	0.00000134
4.20	0.01524584	0.00000127
4.23	0.01384239	0.00000120
4.30	0.01124911	0.00000090
4.405	0.00856161	0.00000027
4.13	0.01942524	0.00000135
4.15	0.01808069	0.00000128
4.17	0.01686886	0.00000127
4.18	0.01629887	0.00000134
4.20	0.01524584	0.00000127
4.23	0.01384239	0.00000120
4.30	0.01124911	0.00000090
