dataset_name,dataset_path,ns,nt,beta,temperature,ml,ms,mres,zm,num_cfgs,pbpl,pbpl_err,pbps,pbps_err,pbp_rm,pbp_rm_err
L32T12_beta4.17ms0.040m0.0020,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L32T12_beta4.17ms0.040m0.0020,32,12,4.17,204.41333333333333,0.002,0.04,0.000339722,0.966247,108,0.0009580577055555562,0.000023337180913091992,0.01686806666666667,0.000010698136943423484,-0.000021006781565234455,0.00002418202790781587
L32T14_beta4.17ms0.040m0.0020,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L32T14_beta4.17ms0.040m0.0020,32,14,4.17,175.21142857142857,0.002,0.04,0.000339722,0.966247,282,0.0011990416024822682,0.000023595878793750013,0.017284721347517722,7.418407195789306e-6,0.0002033848473257066,0.00002430403959929763
L40T16_beta4.17ms0.040m0.0020,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L40T16_beta4.17ms0.040m0.0020,40,16,4.17,153.31,0.002,0.04,0.000339722,0.966247,174,0.0017111977176245217,0.000023323554594278647,0.017554798103448278,5.009420247792351e-6,0.0007172198625516877,0.000024036233677100786
L48T16beta4.17ms0.038400m0.001001,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L48T16beta4.17ms0.038400m0.001001,48,16,4.17,153.31,0.001001,0.0384,0.000339722,0.966247,2008,0.0010739602505478092,6.417135088030311e-6,0.01686885733067727,1.2717187720555403e-6,0.0005072772575737479,6.623422034368915e-6
L48T18_beta4.17ms0.040m0.0020,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L48T18_beta4.17ms0.040m0.0020,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,79,0.0020173927594936683,0.00001904801480581601,0.017633683797468356,5.789367915432627e-6,0.0010293756945220704,0.000019550639786420444
L48T18_beta4.17ms0.040m0.0020_2,/Users/junxiongnie/code/algo/ParseLQCData/data/readin/L48T18_beta4.17ms0.040m0.0020_2,48,18,4.17,136.27555555555557,0.002,0.04,0.000339722,0.966247,71,0.002071263746478873,0.000019140986678392787,0.017644456338028164,6.8365230912685e-6,0.0010844818679878643,0.000019628532945692805
