mean,err
0.00014393932269352456,0.00008868395987496073
1.7791257908612754,0.0014605137490994687
1.3238515338555334,0.0027126343023836674
0.9698531947991668,0.003928409376828273
0.7427670866893956,0.0066561640797054645
0.6062159679945435,0.010314021892455796
0.527772584381118,0.017242509357924082
0.4735832559894846,0.02831535109294656
0.43495299376508495,0.043704484731184934
0.4146051592990104,0.051223768233631436
0.4261200342049427,0.07967567188561546
0.4860475748676836,0.12556745588629653
0.6524588553845652,0.22383600489993283
0.732440035315441,0.396591925468774
0.5785982117387815,0.633636591330962
0.33270953641360407,0.6490977431262238
0.11734636487078062,0.5242110553310881
-0.00001877058446151431,0.00184745049565149
-0.00003923537918181895,0.0017825778283401725
0.21180784690457383,0.2269240297501118
0.09427816516188724,0.4415810840911402
0.00004029380681658744,0.0019077118205870099
0.2978234457400151,0.43619685694388
0.38208950807022335,0.5097652071060804
0.38208950807022324,0.5097652071060811
0.2978234457400151,0.43619685694388
-6.7471100466005815e-6,0.0017180287586631643
0.0942772440746858,0.4416003543401006
0.21180784690457388,0.22692402975011167
0.00014694477000570038,0.007585950321630704
0.00003580942951107272,0.00849500349146822
0.11734814402376784,0.5241722592836109
0.33270953641360407,0.6490977431262237
0.5785982117387815,0.6336365913309618
0.7324400353154409,0.39659192546877436
0.6524588553845654,0.22383600489993327
0.4860475748676835,0.12556745588629684
0.4261200342049427,0.0796756718856156
0.4146051592990104,0.05122376823363174
0.43495299376508506,0.043704484731184594
0.4735832559894846,0.028315351092946518
0.527772584381118,0.017242509357926403
0.6062159679945432,0.01031402189245611
0.7427670866893956,0.006656164079704642
0.969853194799167,0.003928409376827121
1.323851533855533,0.002712634302387299
1.7791257908612752,0.0014605137491029716
NaN,0.0
