beta,channel,mass_mean,mass_err,t_start,t_end
13,AV,0.23717623408183697,0.13607851075322155,16,25
13,PS,0.07308204338264424,0.0015835182167973389,8,25
13,S,0.39676049043973216,0.354117473984855,8,25
13,Tt,0.18598566887030613,0.12935584231136868,10,25
13,Vec,0.26325599637646324,0.0816636000080872,16,25
13,Xt,0.5530520882341857,0.1632393980847733,10,25
15,AV,0.29293030085372707,0.04805598236156242,13,25
15,PS,0.07379102637292025,0.002838275754436761,8,25
15,S,0.10361963350884029,0.07361858200271063,8,25
15,Tt,0.36754719058465135,0.22452446727208925,10,25
15,Vec,0.25084276620484214,0.028178785702061542,13,25
15,Xt,0.21463410199161803,0.7583109349788645,10,25
17,AV,0.3895017472864734,0.09567904864777631,14,25
17,PS,0.08339504774862846,0.002050989642616268,8,25
17,S,0.19254125840274872,0.15944442942507303,8,25
17,Tt,0.36249571820620036,0.13876784446814197,10,25
17,Vec,0.3061233620122392,0.05891383970502344,14,25
17,Xt,0.48142275154189323,0.17943114725419912,10,25
18,AV,0.3706309717499289,0.07767660620157238,16,25
18,PS,0.08712788422299528,0.003025702094590021,8,25
18,S,0.4277300920856525,0.4888913352493672,8,25
18,Tt,0.6015636817197428,0.1360831513647815,10,25
18,Vec,0.31143742832800003,0.04754966270279109,16,25
18,Xt,0.28425283676970853,0.05989876185050206,10,25
20,AV,0.31967681766222783,0.03820658795217079,15,25
20,PS,0.09127272871609039,0.00655728721499799,8,25
20,S,0.07869363627572262,0.06440661847580531,8,25
20,Tt,0.33160940485303514,0.061460749458114555,10,25
20,Vec,0.28473159378530455,0.01834613934604763,15,25
20,Xt,0.41457407783802946,0.06185679351728879,10,25
23,AV,0.319850232738278,0.018272202974566807,16,25
23,PS,0.11630539847402577,0.0070077101114161275,8,25
23,S,0.18288414646853554,0.037256890509579074,8,25
23,Tt,0.4999189167011372,0.09683906121386503,10,25
23,Vec,0.3339419623988465,0.019215329028801246,16,25
23,Xt,0.5466743658768942,0.1252998136121804,10,25
30,AV,0.334514365123424,0.01643194034215492,16,25
30,PS,0.21629882634009884,0.010824196281456927,8,25
30,S,0.2221558098903774,0.013652242540120737,8,25
30,Tt,0.4178024194176103,0.01320680209877235,10,25
30,Vec,0.33184177988427,0.018675500562477302,16,25
30,Xt,0.4151100747787373,0.013045415750254703,10,25
