mean,err
-0.06761353004445046,8.0642054291955e-6
-0.046030123745431854,6.6792854282212025e-6
-0.008643079238264673,2.690403656049832e-6
-0.002525129602500953,1.6955274797870899e-6
-0.0010318336123666374,1.3437200238497757e-6
-0.0005208300434315653,1.119075152606956e-6
-0.0002982001790419494,9.31755053884468e-7
-0.0001843769282530597,7.892969855002832e-7
-0.00011986170001377626,6.807821272826839e-7
-0.00008072827817018553,5.946820464716659e-7
-0.00005581788973884981,5.220958160791459e-7
-0.0000393831350441515,4.594192674579792e-7
-0.000028308078292814662,4.0311616164044936e-7
-0.000020722515633253766,3.6076516731694084e-7
-0.000015385435064163006,3.3165285015259685e-7
-0.000011462175693650553,3.135723607776283e-7
-8.549774168480563e-6,3.028344185878031e-7
-6.45137014076904e-6,2.985060475341352e-7
-4.980265814934269e-6,2.968788558942578e-7
-3.894874579246896e-6,3.038841627101072e-7
-3.0765906902683733e-6,3.2408919108346463e-7
-2.523699477718796e-6,3.520210624072025e-7
-2.201598608767733e-6,3.73543819261072e-7
-2.0118483827279883e-6,3.8159773011030566e-7
-1.9352344431637554e-6,3.828210697633225e-7
-2.0118483827279883e-6,3.8159773011030566e-7
-2.201598608767733e-6,3.73543819261072e-7
-2.523699477718796e-6,3.520210624072025e-7
-3.0765906902683733e-6,3.2408919108346463e-7
-3.894874579246896e-6,3.038841627101072e-7
-4.980265814934269e-6,2.968788558942578e-7
-6.45137014076904e-6,2.985060475341352e-7
-8.549774168480563e-6,3.028344185878031e-7
-0.000011462175693650553,3.135723607776283e-7
-0.000015385435064163006,3.3165285015259685e-7
-0.000020722515633253766,3.6076516731694084e-7
-0.000028308078292814662,4.0311616164044936e-7
-0.0000393831350441515,4.594192674579792e-7
-0.00005581788973884981,5.220958160791459e-7
-0.00008072827817018553,5.946820464716659e-7
-0.00011986170001377626,6.807821272826839e-7
-0.0001843769282530597,7.892969855002832e-7
-0.0002982001790419494,9.31755053884468e-7
-0.0005208300434315653,1.119075152606956e-6
-0.0010318336123666374,1.3437200238497757e-6
-0.002525129602500953,1.6955274797870899e-6
-0.008643079238264673,2.690403656049832e-6
-0.046030123745431854,6.6792854282212025e-6
