chi2,dof,massfit_mean,massfit_err,fita,fita_err,chi2_dof
0.6703927831828953,7,0.2914408734344183,0.011374275049000708,-1.1462521724637917e-6,8.34280290032286e-8,0.11173213053048255
0.6299244827885446,7,0.2904461480116372,0.011303596188631158,-1.1571590969016987e-6,8.357737139029692e-8,0.10498741379809078
0.48232709249856615,7,0.2947518573854396,0.01151665268861972,-1.119966091903769e-6,8.292615489459982e-8,0.08038784874976103
0.6873995882279043,7,0.28803833399934103,0.011124422440727593,-1.1850579018478365e-6,8.39361052444888e-8,0.11456659803798404
0.702234282001306,7,0.28935580707415737,0.011216275777677908,-1.1703160684998334e-6,8.374030331869238e-8,0.11703904700021767
0.578785399425661,7,0.2912365314014055,0.011341598226802828,-1.1503191438627635e-6,8.345876206582787e-8,0.09646423323761016
0.5987360918919067,7,0.2905494172429878,0.011293623800399846,-1.1577916079863674e-6,8.356189811521842e-8,0.09978934864865112
0.6699484926952693,7,0.29105292117801546,0.011336901857090124,-1.151483372411577e-6,8.348635311612537e-8,0.11165808211587823
0.6448266730926583,7,0.29123847509910566,0.011344672387417163,-1.1500001599132494e-6,8.345846986572711e-8,0.10747111218210971
0.7407481752387873,7,0.288443865702159,0.011119673312402756,-1.1839971793049414e-6,8.387596041322676e-8,0.12345802920646455
0.5073974219799314,7,0.2917027377311361,0.011360064440812286,-1.14670889910537e-6,8.338860356543123e-8,0.08456623699665523
0.42843152976452364,7,0.29363708473857736,0.01145351101075357,-1.1302245753245634e-6,8.309594970441166e-8,0.07140525496075394
0.7771940923090291,7,0.2884918118406753,0.011169748993231894,-1.178504893461453e-6,8.38688421176961e-8,0.1295323487181715
0.3365961521753721,7,0.2965502596747505,0.011564512354367227,-1.1088409985310091e-6,8.265048842272005e-8,0.05609935869589535
0.5684550497738313,7,0.2907040285915657,0.011230577947261585,-1.1637054045098347e-6,8.353871860570503e-8,0.09474250829563856
0.542785647091117,7,0.29486905917137357,0.01161430424270812,-1.1101270941754296e-6,8.290825531213961e-8,0.09046427451518617
0.6110287091273288,7,0.2925348159242531,0.011488103223172598,-1.1308647070726918e-6,8.326302302186277e-8,0.10183811818788813
